Link_ID,Length_L_km,Area_H_km2
426492,0.421,0.15137
398024,1.24,0.51874
427187,0.451,0.22704
436078,0.325,0.0378
465671,0.619,0.28885
440345,0.163,0.03783
367361,1.268,0.6471
388839,0.845,0.51923
367369,0.423,0.27898
390625,0.751,0.18994
439025,0.584,0.41569
442090,0.588,0.39042
418657,0.457,0.39134
480391,0.258,0.3023
482091,1,0.41364
432325,0.913,0.64291
401206,0.294,0.07589
430175,0.584,0.49173
454529,1.329,1.21935
433174,0.163,0.02522
429336,2.089,1.14764
414680,0.163,0.03792
426656,0.776,0.42889
389091,0.452,0.24063
407895,0.425,0.17695
454350,1.483,1.72281
472370,0.456,0.20077
430681,0.588,0.20173
427179,0.715,0.42886
389607,0.585,0.22795
451056,1.601,0.90583
412294,0.651,0.42963
393254,0.62,0.36711
458052,0.163,0.03771
471086,0.64,0.42671
490044,0.688,0.36319
370643,0.294,0.1015
374376,0.752,0.45663
388477,0.62,0.21531
414979,1.265,0.75782
459107,1.202,0.56556
405319,0.688,0.39194
481473,0.773,0.31337
448942,1.514,1.33447
434483,0.903,0.61987
454124,0.354,0.13837
445589,0.871,0.49085
372828,0.163,0.0761
445764,0.325,0.1007
412040,0.873,0.51798
435596,1.082,0.70571
432519,0.851,0.44125
421722,0.163,0.05048
467917,0.525,0.20088
394179,0.489,0.17721
454341,0.425,0.54071
476958,0.131,0.02508
388476,1.357,0.77258
422156,0.649,0.30287
411292,0.422,0.22742
411465,0.688,0.48025
402683,0.851,0.69554
396188,0.548,0.27842
444148,0.525,0.25182
439031,0.421,0.13856
417862,1.257,0.69441
462735,0.394,0.201
396375,0.808,0.37964
413991,1.295,0.59366
377332,0.426,0.17753
429190,1.268,0.5801
483547,0.618,0.4764
375929,0.394,0.11413
436934,1.076,0.80638
437647,1.562,0.64253
417856,0.355,0.27775
422165,0.48,0.25239
420893,0.518,0.21457
412289,0.999,0.55586
421082,0.259,0.20195
395583,0.844,0.49356
439049,0.259,0.16386
461288,0.394,0.1759
396171,0.681,0.25306
433309,0.751,0.26469
375440,0.651,0.38049
418031,1.847,1.19935
444938,0.75,0.41529
379089,0.426,0.24089
